2.020,.140748E+02,-.134285E+02,.165246E+01,-.926084E+00,-.502998E+00,.659198E+00,.139123E+01,-.186424E+00,.200580E+01,.231159E+00
2.030,.100672E+02,-.942031E+01,.158605E+01,-.858816E+00,-.439664E+00,.594871E+00,.138758E+01,-.181409E+00,.190874E+01,.205521E+00
2.040,.796395E+01,-.731650E+01,.153921E+01,-.811125E+00,-.395625E+00,.549846E+00,.138442E+01,-.176914E+00,.184147E+01,.188188E+00
2.050,.667531E+01,-.602728E+01,.150312E+01,-.774182E+00,-.362126E+00,.515366E+00,.138164E+01,-.172797E+00,.179075E+01,.175014E+00
2.060,.580546E+01,-.515685E+01,.147382E+01,-.744040E+00,-.335261E+00,.487526E+00,.137913E+01,-.168976E+00,.175043E+01,.164422E+00
2.070,.517816E+01,-.452898E+01,.144921E+01,-.718592E+00,-.312953E+00,.464249E+00,.137686E+01,-.165396E+00,.171724E+01,.155595E+00
2.080,.470371E+01,-.405395E+01,.142804E+01,-.696580E+00,-.293963E+00,.444296E+00,.137478E+01,-.162020E+00,.168921E+01,.148048E+00
2.090,.433177E+01,-.368144E+01,.140949E+01,-.677193E+00,-.277494E+00,.426871E+00,.137286E+01,-.158820E+00,.166510E+01,.141471E+00
2.100,.403197E+01,-.338107E+01,.139301E+01,-.659875E+00,-.263004E+00,.411429E+00,.137108E+01,-.155773E+00,.164404E+01,.135653E+00
2.150,.311522E+01,-.246148E+01,.133075E+01,-.593503E+00,-.209674E+00,.353433E+00,.136378E+01,-.142330E+00,.156807E+01,.113866E+00
2.200,.264105E+01,-.198449E+01,.128804E+01,-.546751E+00,-.174581E+00,.313823E+00,.135835E+01,-.131067E+00,.151974E+01,.990147E-01
2.250,.234772E+01,-.168837E+01,.125599E+01,-.510747E+00,-.149212E+00,.284087E+00,.135416E+01,-.121340E+00,.148589E+01,.878634E-01
2.300,.214662E+01,-.148451E+01,.123066E+01,-.481540E+00,-.129826E+00,.260484E+00,.135084E+01,-.112784E+00,.146079E+01,.790067E-01
2.350,.199925E+01,-.133440E+01,.120993E+01,-.457022E+00,-.114454E+00,.241044E+00,.134816E+01,-.105161E+00,.144146E+01,.717116E-01
2.400,.188608E+01,-.121852E+01,.119255E+01,-.435937E+00,-.101938E+00,.224607E+00,.134598E+01,-.983086E-01,.142616E+01,.655491E-01
2.450,.179611E+01,-.112586E+01,.117772E+01,-.417474E+00,-.915411E-01,.210432E+00,.134418E+01,-.921064E-01,.141380E+01,.602467E-01
2.500,.172267E+01,-.104975E+01,.116486E+01,-.401079E+00,-.827660E-01,.198020E+00,.134269E+01,-.864624E-01,.140365E+01,.556205E-01
2.550,.166144E+01,-.985885E+00,.115360E+01,-.386357E+00,-.752647E-01,.187020E+00,.134144E+01,-.813038E-01,.139520E+01,.515405E-01
2.600,.160953E+01,-.931354E+00,.114365E+01,-.373018E+00,-.687836E-01,.177174E+00,.134038E+01,-.765720E-01,.138809E+01,.479110E-01
2.650,.156489E+01,-.884119E+00,.113477E+01,-.360840E+00,-.631333E-01,.168289E+00,.133949E+01,-.722181E-01,.138206E+01,.446596E-01
2.700,.152605E+01,-.842707E+00,.112680E+01,-.349651E+00,-.581690E-01,.160214E+00,.133873E+01,-.682014E-01,.137689E+01,.417297E-01
2.750,.149192E+01,-.806027E+00,.111961E+01,-.339314E+00,-.537780E-01,.152834E+00,.133808E+01,-.644871E-01,.137243E+01,.390765E-01
2.800,.146167E+01,-.773248E+00,.111309E+01,-.329719E+00,-.498709E-01,.146053E+00,.133752E+01,-.610452E-01,.136856E+01,.366636E-01
